group1,group2,value
A,X,9.47216100987194
A,X,6.895491894221445
A,X,10.214867622433228
A,X,15.823796715499308
A,X,6.572690835415946
A,X,6.572744790114264
A,X,500.274612979553005
A,X,10.845143375075379
A,X,5.843107766131876
A,X,9.691798591077474
A,X,5.86082954173784
A,X,5.854058159457974
A,X,8.33931547599255
A,X,2.8387388245260103
A,X,3.1190893485212103
A,X,5.578144729637361
A,X,4.453028559376904
A,X,8.646232408054852
A,X,4.692605454615295
A,X,3.646792993058863
A,X,15.376254201713406
A,X,6.600278530657781
A,X,7.642800566796019
A,X,3.6241722119058517
A,X,5.628306725833048
A,X,7.810439957527582
A,X,4.155792778909829
A,X,8.916014208987708
A,X,5.472199593309779
A,X,6.386287573232365
A,X,5.469278431255862
A,X,18.65546424629654
A,X,7.339358108402551
A,X,4.354215844927974
A,X,11.148137638872413
A,X,4.013156846072368
A,X,8.202441037764961
A,X,2.77365220705283
A,X,3.8034440132555454
A,X,8.15336412317999
A,X,10.689193629845098
A,X,8.050096996358691
A,X,6.973908714790017
A,X,6.356310838442798
A,X,3.5280277537270686
A,X,5.155571093942172
A,X,5.8689785954668325
A,X,12.535456050388332
A,X,8.774143386232396
A,X,3.0601989259099454
A,X,8.688862079210239
A,X,6.094939640652083
A,X,5.2674111546211835
A,X,10.032583483403334
A,X,12.37279067555634
A,X,11.77101389129201
A,X,4.856855627942518
A,X,6.330592363277925
A,X,8.720108806928227
A,X,12.034440293160579
A,X,5.814837735309618
A,X,6.734008019722067
A,X,4.249632518646081
A,X,4.062898714548886
A,X,11.092430194298204
A,X,14.557699287079522
A,X,7.127745171721768
A,X,12.204032732289644
A,X,8.853545608565774
A,X,5.351838371352939
A,X,8.852481389853962
A,X,15.942974838900914
A,X,7.257874231955468
A,X,16.156490022236696
A,X,1.9939696444035306
A,X,11.144557389012425
A,X,7.717755119491166
A,X,6.362976842008065
A,X,7.735966194657102
A,X,2.73523004184195
A,X,6.6204547178122315
A,X,8.833543935158136
A,X,15.470686230165782
A,X,5.702273134466682
A,X,4.932042480738401
A,X,5.74954935220157
A,X,11.677933774129398
A,X,8.709161824470893
A,X,5.669607538319751
A,X,9.550884008623774
A,X,7.7565587413741435
A,X,11.992992192761749
A,X,5.201637360594025
A,X,6.272461909999834
A,X,6.073566069567024
A,X,3.554599952333477
A,X,8.568221103407264
A,X,8.419307970416765
A,X,7.407972079132843
A,X,6.571265509225653
A,Y,3.160649532606154
A,Y,5.74088170880518
A,Y,6.015691407788308
A,Y,4.565982148616031
A,Y,6.7075152239143385
A,Y,9.41618967904557
A,Y,22.91316281231656
A,Y,8.20502431273961
A,Y,8.623838045103495
A,Y,7.066267817804575
A,Y,2.3366943760575363
A,Y,7.2724386446726035
A,Y,7.660966310289785
A,Y,32.39309450404727
A,Y,6.583611277344819
A,Y,8.85452303088064
A,Y,7.236755265391657
A,Y,3.6648711485237135
A,Y,14.668373136663009
A,Y,11.601794908248916
A,Y,11.877183043008824
A,Y,4.281774502781897
A,Y,17.14448566880381
A,Y,3.186392382726599
A,Y,10.507762358559983
A,Y,27.502402802336064
A,Y,4.078291721066985
A,Y,5.260475186133421
A,Y,7.844328754564918
A,Y,5.462543957507439
A,Y,2.914219238920375
A,Y,7.699364437615916
A,Y,3.906406008044006
A,Y,9.817391526168809
A,Y,4.256066851306144
A,Y,18.726893448020647
A,Y,4.618398613712034
A,Y,6.090700442376327
A,Y,12.03850581483834
A,Y,3.5306479528168584
A,Y,8.469537991875319
A,Y,16.18824971082386
A,Y,2.8165424728885378
A,Y,8.25468002380543
A,Y,8.635915055827876
A,Y,11.811737294411195
A,Y,3.517778116738563
A,Y,3.3458676000103265
A,Y,10.106360108465006
A,Y,8.830316025386436
A,Y,8.587397402822546
A,Y,9.096310808807573
A,Y,4.913493358095177
A,Y,8.4939336315878
A,Y,8.809612756425068
A,Y,4.8133299851201885
A,Y,22.634260431541293
A,Y,9.818808220698937
A,Y,3.6154556852527375
A,Y,10.956492086418478
A,Y,4.117272781183701
A,Y,11.849086336996919
A,Y,14.807848546523633
A,Y,4.5158372584926365
A,Y,13.171108457437013
A,Y,9.465641478990054
A,Y,12.1003707907485
A,Y,23.059452902258606
A,Y,6.377442343607395
A,Y,4.700920315639207
A,Y,4.333135189399044
A,Y,4.529057357642125
A,Y,7.055016854745026
A,Y,9.067450969576418
A,Y,8.723447188615946
A,Y,12.13762278119414
